ts,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,vel_ned_valid,timestamp_time_relative,time_utc_usec,heading,heading_offset
1694784907733823,38.2591,15.5956,2.552,2.552,0.25,0.5,1,1,0,0,0,0.06,0.06,0.02,-1.21,0.409105,1,0,1694784906941860,nan,nan
1694784925676663,38.2591,15.5956,47.315,47.315,0.25,0.5,1,1,0,0,0,0,-0.01,0,-2.98,3.32066,1,0,1694784924745860,nan,nan
1694784944815576,38.2591,15.5956,104.059,104.059,0.25,0.5,1,1,0,0,0,0,0,0.03,-2.94,1.63188,1,0,1694784943753860,nan,nan
1694784962933387,38.2591,15.5956,149.569,149.569,0.25,0.5,1,1,0,0,0,0.31,0.13,-0.27,-0.16,5.1564,1,0,1694784961745860,nan,nan
1694784980867020,38.2594,15.5937,139.999,139.999,0.25,0.5,1,1,0,0,0,11.8,2.79,-11.45,0.57,4.95167,1,0,1694784979549860,nan,nan
1694784999384557,38.2599,15.5913,129.718,129.718,0.25,0.5,1,1,0,0,0,11.89,2.81,-11.53,0.59,4.9515,1,0,1694784997757860,nan,nan
1694785017282995,38.2603,15.5889,119.456,119.456,0.25,0.5,1,1,0,0,0,11.97,2.82,-11.64,0.57,4.95045,1,0,1694785015353860,nan,nan
1694785036365374,38.2608,15.5864,108.613,108.613,0.25,0.5,1,1,0,0,0,11.92,2.82,-11.58,0.53,4.9515,1,0,1694785034157860,nan,nan
1694785055679566,38.2612,15.5844,102.164,102.164,0.25,0.5,1,1,0,0,0,1.02,-0.07,-1.01,-2.47,4.63839,1,0,1694785053153860,nan,nan
1694785073836372,38.2612,15.5823,135.036,135.036,0.25,0.5,1,1,0,0,0,12,-0.16,-11.99,-1.82,4.6986,1,0,1694785070957860,nan,nan
1694785092121743,38.2612,15.5798,167.122,167.122,0.25,0.5,1,1,0,0,0,11.97,-0.1,-11.98,-1.83,4.70331,1,0,1694785088765860,nan,nan
1694785110077450,38.2611,15.5774,198.841,198.841,0.25,0.5,1,1,0,0,0,11.97,-0.13,-11.97,-1.76,4.70122,1,0,1694785106369860,nan,nan
1694785128935184,38.2611,15.5748,231.918,231.918,0.25,0.5,1,1,0,0,0,11.94,-0.14,-11.92,-1.8,4.7,1,0,1694785124965860,nan,nan
1694785147927497,38.2611,15.5723,265.781,265.781,0.25,0.5,1,1,0,0,0,11.95,-0.13,-11.93,-1.76,4.70087,1,0,1694785143769860,nan,nan
1694785166829972,38.2611,15.5698,298.025,298.025,0.25,0.5,1,1,0,0,0,5.65,-0.11,-5.64,-0.9,4.69249,1,0,1694785162561860,nan,nan
1694785185506524,38.2611,15.5678,299.781,299.781,0.25,0.5,1,1,0,0,0,11.85,0.12,-11.85,-0.02,4.72269,1,0,1694785181165860,nan,nan
1694785203994758,38.2611,15.5653,299.996,299.996,0.25,0.5,1,1,0,0,0,11.93,0.12,-11.92,-0.01,4.72304,1,0,1694785199565860,nan,nan
1694785222294964,38.2611,15.5628,299.862,299.862,0.25,0.5,1,1,0,0,0,11.95,0.17,-11.97,-0.04,4.72653,1,0,1694785217777860,nan,nan
1694785240599265,38.2612,15.5603,299.714,299.714,0.25,0.5,1,1,0,0,0,11.93,0.12,-11.94,0.01,4.72304,1,0,1694785235977860,nan,nan
1694785259145675,38.2612,15.5578,299.963,299.963,0.25,0.5,1,1,0,0,0,11.96,0.14,-11.97,0,4.72461,1,0,1694785254377860,nan,nan
1694785277135839,38.2612,15.5553,299.87,299.87,0.25,0.5,1,1,0,0,0,11.96,0.08,-11.98,0,4.71972,1,0,1694785272173860,nan,nan
